"$RC_shield_offset [mm]","$ring2_voltage [kV]","Distance [mm]","Distance-250mm [mm]","Ez []"
12.7,0.45,85.500456,-164.499544,-1012.16123245233
12.7,0.45,86.25046,-163.74954,-1057.51505413987
12.7,0.45,87.000464,-162.999536,-1123.48195934482
12.7,0.45,87.750468,-162.249532,-1187.55053842409
12.7,0.45,88.500472,-161.499528,-1251.61911750336
12.7,0.45,89.250476,-160.749524,-1315.68769658262
12.7,0.45,90.00048,-159.99952,-1392.38452853176
12.7,0.45,90.750484,-159.249516,-1476.33475581491
12.7,0.45,91.500488,-158.499512,-1574.84919718433
12.7,0.45,92.250492,-157.749508,-1673.36363855375
12.7,0.45,93.000496,-156.999504,-1759.57095016087
12.7,0.45,93.7505,-156.2495,-1873.40385395389
12.7,0.45,94.500504,-155.499496,-1970.00574169925
12.7,0.45,95.250508,-154.749492,-2119.60642126889
12.7,0.45,96.000512,-153.999488,-2254.12885395511
12.7,0.45,96.750516,-153.249484,-2404.88661535521
12.7,0.45,97.50052,-152.49948,-2555.6443767553
12.7,0.45,98.250524,-151.749476,-2706.4021381554
12.7,0.45,99.000528,-150.999472,-2938.02290877774
12.7,0.45,99.750532,-150.249468,-3106.56723599184
12.7,0.45,100.500536,-149.499464,-3281.14073204552
12.7,0.45,101.25054,-148.74946,-3564.6155735591
12.7,0.45,102.000544,-147.999456,-3848.09041507269
12.7,0.45,102.750548,-147.249452,-4128.04522647168
12.7,0.45,103.500552,-146.499448,-4399.22776849262
12.7,0.45,104.250556,-145.749444,-4670.41031051357
12.7,0.45,105.00056,-144.99944,-5093.27971802539
12.7,0.45,105.750564,-144.249436,-5501.03486907573
12.7,0.45,106.500568,-143.499432,-5830.72128846244
12.7,0.45,107.250572,-142.749428,-6333.13950588294
12.7,0.45,108.000576,-141.999424,-6804.35541690116
12.7,0.45,108.75058,-141.24942,-7275.57132791938
12.7,0.45,109.500584,-140.499416,-7857.82880185009
12.7,0.45,110.250588,-139.749412,-8465.4494698059
12.7,0.45,111.000592,-138.999408,-9033.83463927713
12.7,0.45,111.750596,-138.249404,-9830.65320756861
12.7,0.45,112.5006,-137.4994,-10627.4717758601
12.7,0.45,113.250604,-136.749396,-11478.9392970595
12.7,0.45,114.000608,-135.999392,-12312.2589515088
12.7,0.45,114.750612,-135.249388,-13172.1661156184
12.7,0.45,115.500616,-134.499384,-14253.683225956
12.7,0.45,116.25062,-133.74938,-15285.8256402004
12.7,0.45,117.000624,-132.999376,-16513.559940705
12.7,0.45,117.750628,-132.249372,-17655.1166989942
12.7,0.45,118.500632,-131.499368,-18893.7445694019
12.7,0.45,119.250636,-130.749364,-20193.3196110182
12.7,0.45,120.00064,-129.99936,-21492.8946526345
12.7,0.45,120.750644,-129.249356,-22996.1896793523
12.7,0.45,121.500648,-128.499352,-24573.9501728387
12.7,0.45,122.250652,-127.749348,-26151.710666325
12.7,0.45,123.000656,-126.999344,-27777.8213762261
12.7,0.45,123.75066,-126.24934,-29345.122710997
12.7,0.45,124.500664,-125.499336,-31088.7121477928
12.7,0.45,125.250668,-124.749332,-32832.3015845887
12.7,0.45,126.000672,-123.999328,-34553.4112592105
12.7,0.45,126.750676,-123.249324,-36300.5121792995
12.7,0.45,127.50068,-122.49932,-38013.3132855178
12.7,0.45,128.250684,-121.749316,-39731.7516703998
12.7,0.45,129.000688,-120.999312,-41499.4528799393
12.7,0.45,129.750692,-120.249308,-43106.297270965
12.7,0.45,130.500696,-119.499304,-44749.626535729
12.7,0.45,131.2507,-118.7493,-46386.4899315076
12.7,0.45,132.000704,-117.999296,-47862.3008604884
12.7,0.45,132.750708,-117.249292,-49228.7394208983
12.7,0.45,133.500712,-116.499288,-50588.8810174696
12.7,0.45,134.250716,-115.749284,-51877.3860755992
12.7,0.45,135.00072,-114.99928,-52991.4892608557
12.7,0.45,135.750724,-114.249276,-54112.2174642577
12.7,0.45,136.500728,-113.499272,-54874.3504553863
12.7,0.45,137.250732,-112.749268,-55929.6783118163
12.7,0.45,138.000736,-111.999264,-56606.0683214252
12.7,0.45,138.75074,-111.24926,-57282.4583310343
12.7,0.45,139.500744,-110.499256,-57648.081970113
12.7,0.45,140.250748,-109.749252,-58141.8608591545
12.7,0.45,141.000752,-108.999248,-58468.9768109452
12.7,0.45,141.750756,-108.249244,-58523.5069494423
12.7,0.45,142.50076,-107.49924,-58624.8826822935
12.7,0.45,143.250764,-106.749236,-58735.6711701978
12.7,0.45,144.000768,-105.999232,-58696.1336335311
12.7,0.45,144.750772,-105.249228,-58279.9866950037
12.7,0.45,145.500776,-104.499224,-57863.8397564762
12.7,0.45,146.25078,-103.74922,-57447.6928179487
12.7,0.45,147.000784,-102.999216,-57098.732638453
12.7,0.45,147.750788,-102.249212,-56477.88086765
12.7,0.45,148.500792,-101.499208,-55733.9523268456
12.7,0.45,149.250796,-100.749204,-54990.0237860411
12.7,0.45,150.0008,-99.9992,-54246.0952452367
12.7,0.45,150.750804,-99.249196,-53289.907551215
12.7,0.45,151.500808,-98.499192,-52270.8428781221
12.7,0.45,152.250812,-97.749188,-51297.0077554921
12.7,0.45,153.000816,-96.999184,-50238.8202795334
12.7,0.45,153.75082,-96.24918,-48992.8180772383
12.7,0.45,154.500824,-95.499176,-47763.1707901781
12.7,0.45,155.250828,-94.749172,-46557.1238525569
12.7,0.45,156.000832,-93.999168,-45352.0430052
12.7,0.45,156.750836,-93.249164,-43929.2553101359
12.7,0.45,157.50084,-92.49916,-42573.6352139451
12.7,0.45,158.250844,-91.749156,-41131.9245026862
12.7,0.45,159.000848,-90.999152,-39724.0416376908
12.7,0.45,159.750852,-90.249148,-38230.5437414559
12.7,0.45,160.500856,-89.499144,-36737.0458452211
12.7,0.45,161.25086,-88.74914,-35193.8800136231
12.7,0.45,162.000864,-87.999136,-33666.0408727215
12.7,0.45,162.750868,-87.249132,-32128.6579616495
12.7,0.45,163.500872,-86.499128,-30540.9075080609
12.7,0.45,164.250876,-85.749124,-28970.5769939415
12.7,0.45,165.00088,-84.99912,-27378.5791996078
12.7,0.45,165.750884,-84.249116,-25786.5814052741
12.7,0.45,166.500888,-83.499112,-24192.0092079978
12.7,0.45,167.250892,-82.749108,-22605.4531804292
12.7,0.45,168.000896,-81.999104,-21017.6635227103
12.7,0.45,168.7509,-81.2491,-19430.4879555201
12.7,0.45,169.500904,-80.499096,-17885.8492914555
12.7,0.45,170.250908,-79.749092,-16355.5869067169
12.7,0.45,171.000912,-78.999088,-14794.11604157
12.7,0.45,171.750916,-78.249084,-13238.263250156
12.7,0.45,172.50092,-77.49908,-11687.0808593272
12.7,0.45,173.250924,-76.749076,-10260.3715041468
12.7,0.45,174.000928,-75.999072,-8828.04681482845
12.7,0.45,174.750932,-75.249068,-7395.72212551009
12.7,0.45,175.500936,-74.499064,-5955.05993242937
12.7,0.45,176.25094,-73.74906,-4512.88084324662
12.7,0.45,177.000944,-72.999056,-3165.59908953205
12.7,0.45,177.750948,-72.249052,-1920.16624733789
12.7,0.45,178.500952,-71.499048,-465.800720658446
12.7,0.45,179.250956,-70.749044,705.375812624889
12.7,0.45,180.00096,-69.99904,1876.55234590822
