"$RC_shield_offset [mm]","$ring2_voltage [kV]","Distance [mm]","Distance-250mm [mm]","Ez []","Distance-250mm [mm]","Ex []","Distance-250mm [mm]","Ey []"
10,0.45,51.000272,-198.999728,-177.730988025231,-198.999728,-0.123429013516185,-198.999728,0.0596536347489804
10,0.45,51.750276,-198.249724,-182.677827778736,-198.249724,0.484382527714441,-198.249724,0.113502008813117
10,0.45,52.50028,-197.49972,-189.330557108581,-197.49972,0.532802478117336,-197.49972,-0.0942566388219056
10,0.45,53.250284,-196.749716,-195.983286438427,-196.749716,0.581222428520234,-196.749716,-0.302015286456926
10,0.45,54.000288,-195.999712,-202.636015768272,-195.999712,0.629642378923131,-195.999712,-0.509773934091946
10,0.45,54.750292,-195.249708,-209.288745098117,-195.249708,0.678062329326028,-195.249708,-0.717532581726966
10,0.45,55.500296,-194.499704,-215.941474427963,-194.499704,0.726482279728925,-194.499704,-0.925291229361986
10,0.45,56.2503,-193.7497,-222.594203757808,-193.7497,0.774902230131821,-193.7497,-1.13304987699701
10,0.45,57.000304,-192.999696,-232.603647906604,-192.999696,-0.211215894897843,-192.999696,-0.524652136778442
10,0.45,57.750308,-192.249692,-238.515428087208,-192.249692,0.758021616914051,-192.249692,0.220569869623228
10,0.45,58.500312,-191.499688,-247.877912565656,-191.499688,0.592330501479791,-191.499688,-0.164690687502052
10,0.45,59.250316,-190.749684,-257.240397044104,-190.749684,0.426639386045532,-190.749684,-0.549951244627331
10,0.45,60.00032,-189.99968,-266.602881522552,-189.99968,0.260948270611273,-189.99968,-0.935211801752611
10,0.45,60.750324,-189.249676,-275.726935830849,-189.249676,0.0563215838151563,-189.249676,-0.455594888260917
10,0.45,61.500328,-188.499672,-285.101029886415,-188.499672,-0.119947766906332,-188.499672,-0.721587384475281
10,0.45,62.250332,-187.749668,-296.936240352654,-187.749668,-0.403402985676444,-187.749668,-0.0168725455918453
10,0.45,63.000336,-186.999664,-308.788145336585,-186.999664,-0.916139425875872,-186.999664,-0.128385078294575
10,0.45,63.75034,-186.24966,-320.640050320516,-186.24966,-1.4288758660753,-186.24966,-0.239897610997301
10,0.45,64.500344,-185.499656,-332.118329269336,-185.499656,-1.02270907123909,-185.499656,-0.00591522100608155
10,0.45,65.250348,-184.749652,-343.025862160687,-184.749652,-1.69520830915799,-184.749652,0.895040026888068
10,0.45,66.000352,-183.999648,-358.133986334984,-183.999648,-1.09154864800978,-183.999648,0.691630488327052
10,0.45,66.750356,-183.249644,-373.242110509281,-183.249644,-0.487888986861565,-183.249644,0.488220949766044
10,0.45,67.50036,-182.49964,-388.350234683578,-182.49964,0.115770674286647,-182.49964,0.284811411205032
10,0.45,68.250364,-181.749636,-405.734752679829,-181.749636,-0.557560185951896,-181.749636,1.25851894199548
10,0.45,69.000368,-180.999632,-422.651983174494,-180.999632,-0.340609771178044,-180.999632,1.36546402038552
10,0.45,69.750372,-180.249628,-439.569213669159,-180.249628,-0.123659356404195,-180.249628,1.47240909877555
10,0.45,70.500376,-179.499624,-456.091671777558,-179.499624,-0.419187637593841,-179.499624,1.12566841622653
10,0.45,71.25038,-178.74962,-475.410310952198,-178.74962,-1.48426732550067,-178.74962,0.215230959398719
10,0.45,72.000384,-177.999616,-499.119230563102,-177.999616,-1.53671839387482,-177.999616,-1.90550947828209
10,0.45,72.750388,-177.249612,-522.130894348573,-177.249612,-0.176380629064507,-177.249612,-1.59748651965697
10,0.45,73.500392,-176.499608,-545.142558134043,-176.499608,1.18395713574581,-176.499608,-1.28946356103186
10,0.45,74.250396,-175.749604,-568.154221919513,-175.749604,2.54429490055608,-175.749604,-0.981440602406756
10,0.45,75.0004,-174.9996,-593.667688856182,-174.9996,8.08844860101268,-174.9996,-6.62327685441581
10,0.45,75.750404,-174.249596,-615.418027009118,-174.249596,-9.05580201633631,-174.249596,4.46514462945833
10,0.45,76.500408,-173.499592,-648.962339875672,-173.499592,-6.67279020907813,-173.499592,2.96588968464372
10,0.45,77.250412,-172.749588,-684.673025993892,-172.749588,6.91011151804084,-172.749588,-2.842814901396
10,0.45,78.000416,-171.999584,-716.419843038904,-171.999584,5.99347059281152,-171.999584,-1.61802810387985
10,0.45,78.75042,-171.24958,-752.533578723987,-171.24958,1.07330110160511,-171.24958,-0.896231372041569
10,0.45,79.500424,-170.499576,-782.761507648698,-170.499576,5.72398239796476,-170.499576,-0.249771707418007
10,0.45,80.250428,-169.749572,-826.920037321102,-169.749572,3.83745729282089,-169.749572,0.786084934791422
10,0.45,81.000432,-168.999568,-871.078566993507,-168.999568,1.95093218767702,-168.999568,1.82194157700086
10,0.45,81.750436,-168.249564,-915.237096665911,-168.249564,0.0644070825331458,-168.249564,2.8577982192103
10,0.45,82.50044,-167.49956,-970.702429612076,-167.49956,0.171352302264836,-167.49956,3.14974816787433
10,0.45,83.250444,-166.749556,-1024.33848102762,-166.749556,-4.15629699795958,-166.749556,5.00459858412484
10,0.45,84.000448,-165.999552,-1070.26456645029,-165.999552,3.34468023280873,-165.999552,3.47807131294369
10,0.45,84.750452,-165.249548,-1133.47743276804,-165.249548,1.95469855862589,-165.249548,3.94387050669302
10,0.45,85.500456,-164.499544,-1196.69029908579,-164.499544,0.564716884443051,-164.499544,4.40966970044233
10,0.45,86.25046,-163.74954,-1259.90316540354,-163.74954,-0.825264789739781,-163.74954,4.87546889419166
10,0.45,87.000464,-162.999536,-1323.11603172129,-162.999536,-2.21524646392261,-162.999536,5.34126808794099
10,0.45,87.750468,-162.249532,-1405.07294623913,-162.249532,2.42884901062421,-162.249532,-4.11670910639394
10,0.45,88.500472,-161.499528,-1486.73960402337,-161.499528,-0.00524495046405349,-161.499528,-5.05906499867106
10,0.45,89.250476,-160.749524,-1586.54486576973,-160.749524,-4.8033403406434,-160.749524,-3.16574660942258
10,0.45,90.00048,-159.99952,-1676.66973863072,-159.99952,-1.50667650388905,-159.99952,0.0887238738010723
10,0.45,90.750484,-159.249516,-1776.16775492335,-159.249516,-4.31647482324592,-159.249516,-0.488362910630704
10,0.45,91.500488,-158.499512,-1893.69578486017,-158.499512,-3.9878587128839,-158.499512,1.35581474240014
10,0.45,92.250492,-157.749508,-2006.99561134303,-157.749508,0.646538147284787,-157.749508,-0.425603156370572
10,0.45,93.000496,-156.999504,-2149.76235474653,-156.999504,1.09842778227108,-156.999504,-6.20256137312384
10,0.45,93.7505,-156.2495,-2277.13164654482,-156.2495,2.70930107830934,-156.2495,-12.8221630424287
10,0.45,94.500504,-155.499496,-2433.96823524158,-155.499496,7.11656276280493,-155.499496,-7.92362316978766
10,0.45,95.250508,-154.749492,-2595.17649657569,-154.749492,12.7452226039531,-154.749492,-0.942242831220365
10,0.45,96.000512,-153.999488,-2750.63878214437,-153.999488,9.16467764176518,-153.999488,8.2275189577762
10,0.45,96.750516,-153.249484,-2944.80928151034,-153.249484,-5.78408925998326,-153.249484,-7.90291566966678
10,0.45,97.50052,-152.49948,-3166.65046874759,-152.49948,-9.31212913370835,-152.49948,-1.28111340582301
10,0.45,98.250524,-151.749476,-3388.49165598483,-151.749476,-12.8401690074334,-151.749476,5.34068885802075
10,0.45,99.000528,-150.999472,-3610.33284322208,-150.999472,-16.3682088811585,-150.999472,11.9624911218646
10,0.45,99.750532,-150.249468,-3896.11178909925,-150.249468,1.80637439471773,-150.249468,-1.05382443830302
10,0.45,100.500536,-149.499464,-4154.9929288412,-149.499464,-1.410993745602,-149.499464,7.86224617999442
10,0.45,101.25054,-148.74946,-4481.82403097315,-148.74946,2.70165751782757,-148.74946,24.4801538482682
10,0.45,102.000544,-147.999456,-4811.67385871305,-147.999456,16.181946919495,-147.999456,-0.861257345277782
10,0.45,102.750548,-147.249452,-5182.36446406037,-147.249452,35.3268106147134,-147.249452,17.9627447911441
10,0.45,103.500552,-146.499448,-5522.58257346,-146.499448,16.4355431038998,-146.499448,15.1512640227663
10,0.45,104.250556,-145.749444,-5970.8979010146,-145.749444,-3.46969151786761,-145.749444,-18.6484914951794
10,0.45,105.00056,-144.99944,-6404.96205071529,-144.99944,-28.2857193187912,-144.99944,-30.0554866789643
10,0.45,105.750564,-144.249436,-6964.92957506508,-144.249436,-55.9797682674761,-144.249436,-33.2055164688238
10,0.45,106.500568,-143.499432,-7471.3215852868,-143.499432,-28.0744647361315,-143.499432,-10.8034249088352
10,0.45,107.250572,-142.749428,-7965.71593995171,-142.749428,-61.5218468060934,-142.749428,14.0606071038828
10,0.45,108.000576,-141.999424,-8658.9046480048,-141.999424,-21.6396461483967,-141.999424,35.3467146459637
10,0.45,108.75058,-141.24942,-9345.77389248669,-141.24942,14.6143326000453,-141.24942,57.5819741287103
10,0.45,109.500584,-140.499416,-10105.7118713814,-140.499416,15.8750301614143,-140.499416,56.1352767187728
10,0.45,110.250588,-139.749412,-10873.9663306944,-139.749412,24.6787594584245,-139.749412,51.8238451219831
10,0.45,111.000592,-138.999408,-11642.2207900074,-138.999408,33.4824887554346,-138.999408,47.5124135251934
10,0.45,111.750596,-138.249404,-12410.4752493204,-138.249404,42.2862180524447,-138.249404,43.2009819284037
10,0.45,112.5006,-137.4994,-13563.6037636293,-137.4994,-2.22639680103456,-137.4994,-36.0622345971445
10,0.45,113.250604,-136.749396,-14459.3273196664,-136.749396,-67.5361549040732,-136.749396,-46.6749471161214
10,0.45,114.000608,-135.999392,-15612.9487909699,-135.999392,-58.5269649249488,-135.999392,-7.79356649961704
10,0.45,114.750612,-135.249388,-16782.9133706786,-135.249388,-44.701443433199,-135.249388,24.5116531580882
10,0.45,115.500616,-134.499384,-17952.8779503874,-134.499384,-30.8759219414495,-134.499384,56.8168728157935
10,0.45,116.25062,-133.74938,-19122.8425300962,-133.74938,-17.0504004497,-133.74938,89.1220924734987
10,0.45,117.000624,-132.999376,-20562.6868033423,-132.999376,-13.9278117809326,-132.999376,-53.0861031972351
10,0.45,117.750628,-132.249372,-21955.4565790559,-132.249372,-4.53991466991076,-132.249372,-35.6255741721404
10,0.45,118.500632,-131.499368,-23375.5105135449,-131.499368,14.5937043244142,-131.499368,-12.6289204610728
10,0.45,119.250636,-130.749364,-24994.0597853924,-130.749364,25.6600117358094,-130.749364,42.0127682966709
10,0.45,120.00064,-129.99936,-26612.6090572399,-129.99936,36.726319147205,-129.99936,96.6544570544143
10,0.45,120.750644,-129.249356,-28212.5444776085,-129.249356,-64.5068939965996,-129.249356,28.6295269879206
10,0.45,121.500648,-128.499352,-29790.4959582954,-128.499352,-25.0193677336034,-128.499352,4.52763008635972
10,0.45,122.250652,-127.749348,-31507.3166068061,-127.749348,30.9300305244619,-127.749348,13.0057046825788
10,0.45,123.000656,-126.999344,-33200.7413584159,-126.999344,3.63526479338088,-126.999344,0.630779259170481
10,0.45,123.75066,-126.24934,-34909.4575125368,-126.24934,-3.9275546704061,-126.24934,30.2777273700044
10,0.45,124.500664,-125.499336,-36638.4589924235,-125.499336,-14.9932399039702,-125.499336,21.1228279260865
10,0.45,125.250668,-124.749332,-38389.1177629267,-124.749332,15.6519250088553,-124.749332,4.97431980178068
10,0.45,126.000672,-123.999328,-40068.0328905613,-123.999328,-8.20387244613781,-123.999328,-9.40345111021975
10,0.45,126.750676,-123.249324,-41736.7883114626,-123.249324,-12.5242388949144,-123.249324,-50.7849790545672
10,0.45,127.50068,-122.49932,-43427.8776748857,-122.49932,-21.6790758395549,-122.49932,-45.6201279732303
10,0.45,128.250684,-121.749316,-45006.0918401238,-121.749316,-2.16366167620231,-121.749316,-57.4646967038339
10,0.45,129.000688,-120.999312,-46584.306005362,-120.999312,17.3517524871506,-120.999312,-69.3092654344381
10,0.45,129.750692,-120.249308,-47966.408299083,-120.249308,48.2531795537359,-120.249308,-21.7122768466716
10,0.45,130.500696,-119.499304,-49496.7209120491,-119.499304,16.8943640329281,-119.499304,26.7409643445629
10,0.45,131.2507,-118.7493,-50705.4040447138,-118.7493,94.256605923782,-118.7493,37.2536127086184
10,0.45,132.000704,-117.999296,-51996.0551967233,-117.999296,69.1439275933679,-117.999296,-13.6441771797276
10,0.45,132.750708,-117.249292,-53019.714171954,-117.249292,-29.8984727433769,-117.249292,44.1601842538032
10,0.45,133.500712,-116.499288,-54204.3464204448,-116.499288,-9.83431633423634,-116.499288,-44.9019898974343
10,0.45,134.250716,-115.749284,-55072.2202489416,-115.749284,-35.7322362118081,-115.749284,-56.6476605759462
10,0.45,135.00072,-114.99928,-55934.569129035,-114.99928,-62.0037358142202,-114.99928,-34.1990750960006
10,0.45,135.750724,-114.249276,-56650.0606702829,-114.249276,-13.2766305456749,-114.249276,-5.4675239897363
10,0.45,136.500728,-113.499272,-57298.2186379337,-113.499272,-29.9265325868597,-113.499272,-15.8688585071408
10,0.45,137.250732,-112.749268,-57776.254047065,-112.749268,-30.9671531303733,-112.749268,30.1379549989513
10,0.45,138.000736,-111.999264,-58166.7564417703,-111.999264,-0.535725933143183,-111.999264,-0.431196183685695
10,0.45,138.75074,-111.24926,-58484.3643282365,-111.24926,22.5282147952238,-111.24926,-36.4583119828025
10,0.45,139.500744,-110.499256,-58714.0065187771,-110.499256,13.3576473638,-110.499256,-88.2365227951747
10,0.45,140.250748,-109.749252,-58797.7435042397,-109.749252,83.312136523488,-109.749252,-95.6108526404412
10,0.45,141.000752,-108.999248,-58799.0359285886,-108.999248,25.9103560160336,-108.999248,-74.3329056945772
10,0.45,141.750756,-108.249244,-58800.3283529376,-108.249244,-31.4914244914207,-108.249244,-53.0549587487132
10,0.45,142.50076,-107.49924,-58546.3843800053,-107.49924,1.36385101624188,-107.49924,-28.0559098233126
10,0.45,143.250764,-106.749236,-58277.12003329,-106.749236,5.95629358224129,-106.749236,-5.56686063832467
10,0.45,144.000768,-105.999232,-57869.4000382742,-105.999232,-18.6779352332142,-105.999232,18.0549446825932
10,0.45,144.750772,-105.249228,-57459.1033939638,-105.249228,-38.2088649603995,-105.249228,32.7466368853295
10,0.45,145.500776,-104.499224,-57029.53034684,-104.499224,-40.5931025680922,-104.499224,9.42250034080475
10,0.45,146.25078,-103.74922,-56366.0634349632,-103.74922,-45.1690825082521,-103.74922,-11.8735340715321
10,0.45,147.000784,-102.999216,-55610.8362933648,-102.999216,-2.33008766007445,-102.999216,-32.9990853925332
10,0.45,147.750788,-102.249212,-54855.6091517664,-102.249212,40.5089071881032,-102.249212,-54.1246367135343
10,0.45,148.500792,-101.499208,-54060.557945624,-101.499208,-38.6815056202289,-101.499208,-51.9899167344324
10,0.45,149.250796,-100.749204,-53195.5106557826,-100.749204,87.3249432121737,-100.749204,-68.844100029194
10,0.45,150.0008,-99.9992,-52208.0758177804,-99.9992,68.5376181766385,-99.9992,-41.4229932084096
10,0.45,150.750804,-99.249196,-51220.6409797781,-99.249196,49.7502931411035,-99.249196,-14.0018863876253
10,0.45,151.500808,-98.499192,-50233.2061417759,-98.499192,30.9629681055684,-98.499192,13.4192204331591
10,0.45,152.250812,-97.749188,-49245.7713037736,-97.749188,12.1756430700334,-97.749188,40.8403272539435
10,0.45,153.000816,-96.999184,-47917.3125052757,-96.999184,9.8075020186387,-96.999184,12.7856433246266
10,0.45,153.75082,-96.24918,-46705.2238195555,-96.24918,17.0786481683493,-96.24918,-21.8971820316935
10,0.45,154.500824,-95.499176,-45456.45267824,-95.499176,21.9512310652111,-95.499176,-25.8354800285593
10,0.45,155.250828,-94.749172,-44181.5630971616,-94.749172,39.1270406481903,-94.749172,-33.7264357372221
10,0.45,156.000832,-93.999168,-42861.687552397,-93.999168,18.9804629786979,-93.999168,-49.3665646983516
10,0.45,156.750836,-93.249164,-41502.5672466762,-93.249164,34.9230182706837,-93.249164,-33.1505471234189
10,0.45,157.50084,-92.49916,-40077.6428577625,-92.49916,44.1392429992485,-92.49916,-33.0576014345782
10,0.45,158.250844,-91.749156,-38653.3703768021,-91.749156,52.0040979489417,-91.749156,-34.152242519544
10,0.45,159.000848,-90.999152,-37200.310446797,-90.999152,33.7809393192408,-90.999152,-37.6081164366652
10,0.45,159.750852,-90.249148,-35747.250516792,-90.249148,15.5577806895406,-90.249148,-41.063990353786
10,0.45,160.500856,-89.499144,-34263.5772870538,-89.499144,3.20321757105484,-89.499144,-14.5916181553332
10,0.45,161.25086,-88.74914,-32715.0899381636,-88.74914,11.1965559091859,-88.74914,-39.8963187349679
10,0.45,162.000864,-87.999136,-31185.0601620382,-87.999136,12.2160155642935,-87.999136,-34.9927037675024
10,0.45,162.750868,-87.249132,-29648.2623972704,-87.249132,7.87267466009667,-87.249132,-29.4762088631565
10,0.45,163.500872,-86.499128,-28096.6971316789,-86.499128,7.26960214330809,-86.499128,-28.2153844044309
10,0.45,164.250876,-85.749124,-26545.6854583306,-85.749124,12.9647624134886,-85.749124,-29.9771604301036
10,0.45,165.00088,-84.99912,-24983.788442802,-84.99912,4.12024459350482,-84.99912,-33.2148987026334
10,0.45,165.750884,-84.249116,-23423.0785544795,-84.249116,4.06348539369256,-84.249116,-35.7434080284419
10,0.45,166.500888,-83.499112,-21862.3686661569,-83.499112,4.00672619388041,-83.499112,-38.2719173542506
10,0.45,167.250892,-82.749108,-20326.1034113354,-82.749108,29.082203935976,-82.749108,-17.8977891352867
10,0.45,168.000896,-81.999104,-18766.6273731928,-81.999104,22.4254196712441,-81.999104,-23.2164245003642
10,0.45,168.7509,-81.2491,-17213.3634756585,-81.2491,9.0305471704646,-81.2491,-20.4987601528295
10,0.45,169.500904,-80.499096,-15646.4434141719,-80.499096,-12.3562286900337,-80.499096,13.6212179950706
10,0.45,170.250908,-79.749092,-14184.7236889764,-79.749092,12.0030309553667,-79.749092,-69.0894547383636
10,0.45,171.000912,-78.999088,-12684.4233682957,-78.999088,-6.30414765272504,-78.999088,-63.8399827299266
10,0.45,171.750916,-78.249084,-11184.1230476149,-78.249084,-24.6113262608166,-78.249084,-58.5905107214896
10,0.45,172.50092,-77.49908,-9683.8227269342,-77.49908,-42.9185048689082,-77.49908,-53.3410387130525
10,0.45,173.250924,-76.749076,-8275.83618870395,-76.749076,20.6577441967191,-76.749076,-27.0561156298563
10,0.45,174.000928,-75.999072,-6868.13818992798,-75.999072,9.60966279994693,-75.999072,-16.5237170295533
10,0.45,174.750932,-75.249068,-5456.27696338407,-75.249068,8.89548339878303,-75.249068,-23.1820063321402
10,0.45,175.500936,-74.499064,-4076.56297164161,-74.499064,9.83745416509902,-74.499064,-20.1777462007367
10,0.45,176.25094,-73.74906,-2696.84897989914,-73.74906,10.7794249314149,-73.74906,-17.1734860693336
10,0.45,177.000944,-72.999056,-1403.33969333485,-72.999056,0.122804543030156,-72.999056,-23.4928914070998
10,0.45,177.750948,-72.249052,-146.574364280111,-72.249052,-11.3293735662881,-72.249052,-44.7873691889126
10,0.45,178.500952,-71.499048,1090.88615163017,-71.499048,0.742804255007867,-71.499048,-39.2250539208427
10,0.45,179.250956,-70.749044,2265.23947996016,-70.749044,59.5439931162993,-70.749044,-6.38345679424619
10,0.45,180.00096,-69.99904,3509.73202562259,-69.99904,22.0861121902696,-69.99904,22.547615404441
10,0.45,180.750964,-69.249036,4649.777589941,-69.249036,25.7421842376228,-69.249036,2.66865678419948
10,0.45,181.500968,-68.499032,5789.82315425939,-68.499032,29.398256284976,-68.499032,-17.2103018360421
10,0.45,182.250972,-67.749028,6929.8687185778,-67.749028,33.0543283323292,-67.749028,-37.0892604562837
10,0.45,183.000976,-66.999024,7891.21298583357,-66.999024,-13.5675463540745,-66.999024,-43.588538997513
10,0.45,183.75098,-66.24902,8948.91050383017,-66.24902,12.2676606765034,-66.24902,-22.2824289341941
10,0.45,184.500984,-65.499016,9900.36358558984,-65.499016,58.2569820738797,-65.499016,-22.8032507679754
10,0.45,185.250988,-64.749012,10883.9778042592,-64.749012,39.1773573843241,-64.749012,-11.3641409543247
10,0.45,186.000992,-63.999008,11815.1904133243,-63.999008,29.8161571231095,-63.999008,-16.0491391310841
10,0.45,186.750996,-63.249004,12746.4030223893,-63.249004,20.4549568618946,-63.249004,-20.7341373078435
