"$ring2_voltage [kV]","Distance [mm]","Distance-250mm [mm]","Ez []","Distance-250mm [mm]","Ex []","Distance-250mm [mm]","Ey []"
0.45,48.75026,-201.24974,-221.432514741416,-201.24974,0.163849000178251,-201.24974,0.392987469558504
0.45,49.500264,-200.499736,-229.983910368944,-200.499736,0.59249360550931,-200.499736,0.335778960911423
0.45,50.250268,-199.749732,-238.535305996472,-199.749732,1.02113821084037,-199.749732,0.278570452264342
0.45,51.000272,-198.999728,-246.476182146118,-198.999728,0.114755375061311,-198.999728,0.00428719404359601
0.45,51.750276,-198.249724,-254.982487537107,-198.249724,-0.137678140482298,-198.249724,-0.0250769362096834
0.45,52.50028,-197.49972,-263.488792928097,-197.49972,-0.390111656025907,-197.49972,-0.0544410664629615
0.45,53.250284,-196.749716,-273.815013075195,-196.749716,-0.568875693987565,-196.749716,0.210069294517429
0.45,54.000288,-195.999712,-285.637942831051,-195.999712,-0.329526849336511,-195.999712,0.109508460234978
0.45,54.750292,-195.249708,-297.460872586907,-195.249708,-0.0901780046854596,-195.249708,0.00894762595252852
0.45,55.500296,-194.499704,-309.798808078638,-194.499704,-0.277131576549792,-194.499704,-0.759668234723138
0.45,56.2503,-193.7497,-320.832159795995,-193.7497,0.494144246465723,-193.7497,-0.133415706579701
0.45,57.000304,-192.999696,-334.812249554804,-192.999696,-1.23474385338078,-192.999696,0.6449893696099
0.45,57.750308,-192.249692,-351.030385188594,-192.249692,1.74527941610534,-192.249692,-1.17974398326222
0.45,58.500312,-191.499688,-353.507207052023,-191.499688,-2.82213171844462,-191.499688,-1.85993437281618
0.45,59.250316,-190.749684,-372.873250191411,-190.749684,-1.75390931807611,-190.749684,-0.64764477457997
0.45,60.00032,-189.99968,-392.239293330799,-189.99968,-0.685686917707603,-189.99968,0.564644823656231
0.45,60.750324,-189.249676,-411.605336470187,-189.249676,0.382535482660904,-189.249676,1.77693442189243
0.45,61.500328,-188.499672,-430.907748917152,-188.499672,1.40454340338098,-188.499672,3.25637411110352
0.45,62.250332,-187.749668,-448.916791521894,-187.749668,2.75911053931795,-187.749668,2.02554969457949
0.45,63.000336,-186.999664,-466.925834126636,-186.999664,4.11367767525493,-186.999664,0.794725278055451
0.45,63.75034,-186.24966,-484.934876731377,-186.24966,5.4682448111919,-186.24966,-0.436099138468586
0.45,64.500344,-185.499656,-502.943919336119,-185.499656,6.82281194712888,-185.499656,-1.66692355499262
0.45,65.250348,-184.749652,-541.768459527953,-184.749652,2.29743607953008,-184.749652,2.13753681127455
0.45,66.000352,-183.999648,-562.198847769441,-183.999648,-5.19729436859928,-183.999648,-3.62627660182392
0.45,66.750356,-183.249644,-574.559042541578,-183.249644,-1.71068801510096,-183.249644,8.05507739760266
0.45,67.50036,-182.49964,-610.211249728171,-182.49964,0.410931580564013,-182.49964,4.73348345846756
0.45,68.250364,-181.749636,-645.863456914763,-181.749636,2.53255117622898,-181.749636,1.41188951933245
0.45,69.000368,-180.999632,-680.662915073301,-180.999632,6.96079886996468,-180.999632,-2.49256637776717
0.45,69.750372,-180.249628,-712.017229354598,-180.249628,2.78856800893399,-180.249628,-2.06721237985399
0.45,70.500376,-179.499624,-743.371543635896,-179.499624,-1.3836628520967,-179.499624,-1.64185838194081
0.45,71.25038,-178.74962,-774.725857917194,-178.74962,-5.55589371312739,-178.74962,-1.21650438402763
0.45,72.000384,-177.999616,-826.014613522009,-177.999616,5.8499222907431,-177.999616,4.84628362221828
0.45,72.750388,-177.249612,-861.389022416768,-177.249612,0.863568073251738,-177.249612,2.65199804758923
0.45,73.500392,-176.499608,-903.920281221612,-176.499608,-2.99880709334053,-176.499608,1.22522504107462
0.45,74.250396,-175.749604,-958.723904508309,-175.749604,-4.31109464992698,-175.749604,0.137487228348792
0.45,75.0004,-174.9996,-1013.52752779501,-174.9996,-5.62338220651349,-174.9996,-0.950250584377066
0.45,75.750404,-174.249596,-1067.69522737164,-174.249596,0.410472618706434,-174.249596,-9.99235534896236
0.45,76.500408,-173.499592,-1138.53034672818,-173.499592,-2.6669331656321,-173.499592,-11.9941603600548
0.45,77.250412,-172.749588,-1209.36546608472,-172.749588,-5.74433894997065,-172.749588,-13.9959653711472
0.45,78.000416,-171.999584,-1286.01616493933,-171.999584,-13.9287675198943,-171.999584,-20.6839511629975
0.45,78.75042,-171.24958,-1354.22324143466,-171.24958,-12.3325890125773,-171.24958,-14.1048605367078
0.45,79.500424,-170.499576,-1422.43031792998,-170.499576,-10.7364105052602,-170.499576,-7.525769910418
0.45,80.250428,-169.749572,-1496.94480325752,-169.749572,-6.52700614002566,-169.749572,-6.93380712445204
0.45,81.000432,-168.999568,-1558.80015690187,-168.999568,10.1681210481523,-168.999568,-19.6414540064988
0.45,81.750436,-168.249564,-1696.53038382779,-168.249564,8.71724252176252,-168.249564,0.448633072705313
0.45,82.50044,-167.49956,-1804.39930562817,-167.49956,38.3524621325402,-167.49956,-25.8013435898652
0.45,83.250444,-166.749556,-1940.04282765927,-166.749556,43.1361931331881,-166.749556,-22.1756596818079
0.45,84.000448,-165.999552,-2075.68634969038,-165.999552,47.919924133836,-165.999552,-18.5499757737505
0.45,84.750452,-165.249548,-2211.32987172148,-165.249548,52.7036551344838,-165.249548,-14.9242918656932
0.45,85.500456,-164.499544,-2346.97339375258,-164.499544,57.4873861351317,-164.499544,-11.2986079576358
0.45,86.25046,-163.74954,-2482.61691578368,-163.74954,62.2711171357795,-163.74954,-7.67292404957843
0.45,87.000464,-162.999536,-2618.26043781478,-162.999536,67.0548481364274,-162.999536,-4.04724014152111
0.45,87.750468,-162.249532,-2903.52115572604,-162.249532,8.29235278282289,-162.249532,-2.11502874305017
0.45,88.500472,-161.499528,-3153.44123794497,-161.499528,49.4157389536157,-161.499528,25.220823190585
0.45,89.250476,-160.749524,-3321.40131641861,-160.749524,28.2644772069915,-160.749524,-17.0396816645491
0.45,90.00048,-159.99952,-3546.8152279827,-159.99952,13.7977982939998,-159.99952,-12.7088878045622
0.45,90.750484,-159.249516,-3773.42045436812,-159.249516,10.8793682005339,-159.249516,-9.48886149656811
0.45,91.500488,-158.499512,-4000.02568075355,-158.499512,7.96093810706802,-158.499512,-6.2688351885741
0.45,92.250492,-157.749508,-4226.63090713897,-157.749508,5.04250801360218,-157.749508,-3.04880888058024
0.45,93.000496,-156.999504,-4646.27554071166,-156.999504,23.9845287703992,-156.999504,36.1740518428481
0.45,93.7505,-156.2495,-5052.13641555352,-156.2495,8.5883631191396,-156.2495,42.4333490811585
0.45,94.500504,-155.499496,-5474.27572114468,-155.499496,-5.44648101508179,-155.499496,49.5192160617442
0.45,95.250508,-154.749492,-5896.41502673583,-154.749492,-19.4813251493032,-154.749492,56.6050830423298
0.45,96.000512,-153.999488,-6318.55433232699,-153.999488,-33.5161692835245,-153.999488,63.6909500229154
0.45,96.750516,-153.249484,-6740.69363791815,-153.249484,-47.5510134177459,-153.249484,70.776817003501
0.45,97.50052,-152.49948,-7401.66230486771,-152.49948,24.363277463161,-152.49948,-52.713908323208
0.45,98.250524,-151.749476,-7882.38498277916,-151.749476,-22.5551146039296,-151.749476,41.8464679907411
0.45,99.000528,-150.999472,-8497.73155281213,-150.999472,-6.370542050571,-150.999472,41.3950826150757
0.45,99.750532,-150.249468,-9113.0781228451,-150.249468,9.81403050278756,-150.249468,40.9436972394104
0.45,100.500536,-149.499464,-9737.51574331906,-149.499464,-33.7948691548185,-149.499464,-67.6598474690682
0.45,101.25054,-148.74946,-10640.8883503596,-148.74946,4.23076458883219,-148.74946,19.5101380742242
0.45,102.000544,-147.999456,-11544.2609574002,-147.999456,42.2563983324828,-147.999456,106.680123617517
0.45,102.750548,-147.249452,-12418.1811400225,-147.249452,74.5306615728598,-147.249452,127.501700961436
0.45,103.500552,-146.499448,-13238.3963190111,-146.499448,98.977170937023,-146.499448,76.2825813674729
0.45,104.250556,-145.749444,-14058.6114979997,-145.749444,123.423680301186,-145.749444,25.0634617735097
0.45,105.00056,-144.99944,-15069.0813369141,-144.99944,-6.54208073618204,-144.99944,-12.7099331355431
0.45,105.750564,-144.249436,-16341.8900189368,-144.249436,31.0160739332861,-144.249436,-58.0486514077219
0.45,106.500568,-143.499432,-17633.8869778092,-143.499432,147.436540138779,-143.499432,-120.340343402644
0.45,107.250572,-142.749428,-18878.5569559274,-142.749428,115.751776235435,-142.749428,-164.233353547398
0.45,108.000576,-141.999424,-20058.1423055135,-141.999424,8.15038468616888,-141.999424,-49.7423269226213
0.45,108.75058,-141.24942,-21258.381606158,-141.24942,-51.1702516227259,-141.24942,-2.36890871442409
0.45,109.500584,-140.499416,-22669.5054592859,-140.499416,-27.5737920694178,-140.499416,20.2270163836738
0.45,110.250588,-139.749412,-24197.3909214919,-139.749412,-43.6985865534791,-139.749412,34.1847826964284
0.45,111.000592,-138.999408,-25725.2763836979,-138.999408,-59.8233810375403,-138.999408,48.142549009183
0.45,111.750596,-138.249404,-27266.6272697573,-138.249404,-95.809955690799,-138.249404,90.9251628524919
0.45,112.5006,-137.4994,-28728.9524628337,-137.4994,7.89439774783277,-137.4994,30.2794470790789
0.45,113.250604,-136.749396,-30285.5620040199,-136.749396,4.46841834764189,-136.749396,30.0489205910517
0.45,114.000608,-135.999392,-31846.9453617774,-135.999392,-12.6778303693778,-135.999392,22.1658742198826
0.45,114.750612,-135.249388,-33408.3287195349,-135.249388,-29.8240790863977,-135.249388,14.2828278487138
0.45,115.500616,-134.499384,-35050.3135668185,-134.499384,0.0828135818526334,-134.499384,21.3565107103157
0.45,116.25062,-133.74938,-36719.1799840413,-133.74938,41.7852483315492,-133.74938,-67.8434931051707
0.45,117.000624,-132.999376,-38186.6987294007,-132.999376,3.75432578788759,-132.999376,19.4331413334923
0.45,117.750628,-132.249372,-39654.2174747602,-132.249372,-34.2765967557743,-132.249372,106.709775772155
0.45,118.500632,-131.499368,-41121.7362201196,-131.499368,-72.307519299436,-131.499368,193.986410210818
0.45,119.250636,-130.749364,-42589.2549654791,-130.749364,-110.338441843098,-130.749364,281.263044649482
0.45,120.00064,-129.99936,-44184.9926470314,-129.99936,-143.832202220635,-129.99936,-310.78997935505
0.45,120.750644,-129.249356,-45780.9576160641,-129.249356,6.90219839018789,-129.249356,183.346912605046
0.45,121.500648,-128.499352,-46804.5781522227,-128.499352,-323.683666257285,-128.499352,-45.3740130231389
0.45,122.250652,-127.749348,-47886.4489768579,-127.749348,-205.674937838913,-127.749348,-32.4960872954102
0.45,123.000656,-126.999344,-48968.3198014931,-126.999344,-87.6662094205422,-126.999344,-19.6181615676814
0.45,123.75066,-126.24934,-50050.1906261283,-126.24934,30.3425189978288,-126.24934,-6.74023583995263
0.45,124.500664,-125.499336,-51132.0614507635,-125.499336,148.3512474162,-125.499336,6.13768988777613
0.45,125.250668,-124.749332,-52213.9322753987,-124.749332,266.359975834573,-124.749332,19.0156156155052
0.45,126.000672,-123.999328,-52832.5730892932,-123.999328,-97.334819664417,-123.999328,41.3743630925287
0.45,126.750676,-123.249324,-53640.0887135577,-123.249324,-19.1706869921312,-123.249324,35.7110556547489
0.45,127.50068,-122.49932,-54327.2627661146,-122.49932,2.04132801923112,-122.49932,-37.0414981001654
0.45,128.250684,-121.749316,-55023.450868504,-121.749316,102.859118725855,-121.749316,82.3795784671118
0.45,129.000688,-120.999312,-55397.1661451814,-120.999312,127.590942562424,-120.999312,29.8526154177981
0.45,129.750692,-120.249308,-55779.7340387644,-120.249308,133.531866749297,-120.249308,-12.1458889938225
0.45,130.500696,-119.499304,-56168.8241811697,-119.499304,104.944574056382,-119.499304,-21.1910307356261
0.45,131.2507,-118.7493,-56557.914323575,-118.7493,76.3572813634671,-118.7493,-30.23617247743
0.45,132.000704,-117.999296,-56652.853222734,-117.999296,16.1584033554192,-117.999296,42.1275557803906
0.45,132.750708,-117.249292,-56809.8653438589,-117.249292,-25.2490406500788,-117.249292,-4.61363545842266
0.45,133.500712,-116.499288,-56920.5922417215,-116.499288,34.8466617480956,-116.499288,20.7694288219341
0.45,134.250716,-115.749284,-56855.061556995,-115.749284,11.4381797649253,-115.749284,28.6783348908592
0.45,135.00072,-114.99928,-56789.5308722684,-114.99928,-11.9703022182449,-114.99928,36.5872409597843
0.45,135.750724,-114.249276,-56555.7418663376,-114.249276,105.078900267139,-114.249276,46.4856869512126
0.45,136.500728,-113.499272,-56403.4432993059,-113.499272,62.1887983474907,-113.499272,17.7125534555001
0.45,137.250732,-112.749268,-56151.9603562002,-112.749268,36.4543655705515,-112.749268,0.0623518903805582
0.45,138.000736,-111.999264,-55748.8442998198,-111.999264,2.01483135704514,-111.999264,-16.2840764713257
0.45,138.75074,-111.24926,-55345.7282434394,-111.24926,-32.4247028564613,-111.24926,-32.6305048330319
0.45,139.500744,-110.499256,-54983.8165117567,-110.499256,15.7408885884809,-110.499256,-13.6744173274264
0.45,140.250748,-109.749252,-54600.0479626058,-109.749252,31.1276981251999,-109.749252,-8.46711082444247
0.45,141.000752,-108.999248,-53923.6619760134,-108.999248,51.7310353784703,-108.999248,21.1892864261958
0.45,141.750756,-108.249244,-53312.8840276762,-108.249244,35.4905034956648,-108.249244,-3.26736616481065
0.45,142.50076,-107.49924,-52700.5003867426,-107.49924,25.9366924378368,-107.49924,27.1881455826705
0.45,143.250764,-106.749236,-51954.8576605295,-106.749236,15.5961057535902,-106.749236,36.391632174107
0.45,144.000768,-105.999232,-51172.0114050541,-105.999232,10.010549478575,-105.999232,34.0104776990814
0.45,144.750772,-105.249228,-50406.5683510936,-105.249228,20.2235964920668,-105.249228,-11.1518567449011
0.45,145.500776,-104.499224,-49584.5776528673,-104.499224,64.0679800297143,-104.499224,6.31534969226423
0.45,146.25078,-103.74922,-48673.2694116264,-103.74922,83.4196645343992,-103.74922,1.17617326159035
0.45,147.000784,-102.999216,-47761.9611703855,-102.999216,102.771349039085,-102.999216,-3.96300316908417
0.45,147.750788,-102.249212,-46803.8021382031,-102.249212,137.125288118292,-102.249212,-0.434399700002245
0.45,148.500792,-101.499208,-45730.0730798339,-101.499208,97.0047856965902,-101.499208,40.6871385395817
0.45,149.250796,-100.749204,-44691.7036255212,-100.749204,58.2898726318296,-100.749204,46.8222922910832
0.45,150.0008,-99.9992,-43711.1863603012,-99.9992,20.4658193221357,-99.9992,-0.178099796383329
0.45,150.750804,-99.249196,-42518.9450907756,-99.249196,101.186805831385,-99.249196,-34.4767874436641
0.45,151.500808,-98.499192,-41319.8233337258,-98.499192,65.2178269884412,-98.499192,-60.6543266384963
0.45,152.250812,-97.749188,-40154.5855839604,-97.749188,56.0709199810609,-97.749188,-26.0768144449214
0.45,153.000816,-96.999184,-38941.2960984063,-96.999184,65.9448205891505,-96.999184,-24.1400861840236
0.45,153.75082,-96.24918,-37728.0066128521,-96.24918,75.8187211972401,-96.24918,-22.2033579231257
0.45,154.500824,-95.499176,-36514.717127298,-95.499176,85.6926218053294,-95.499176,-20.2666296622284
0.45,155.250828,-94.749172,-35150.4537242672,-94.749172,84.5131663026693,-94.749172,-0.399274387747056
0.45,156.000832,-93.999168,-33820.0044043848,-93.999168,94.9021557735773,-93.999168,-4.4055745689849
0.45,156.750836,-93.249164,-32482.1306405095,-93.249164,78.4396147430571,-93.249164,-1.463717598269
0.45,157.50084,-92.49916,-31125.4721866566,-92.49916,82.3167785684898,-92.49916,17.6546252239861
0.45,158.250844,-91.749156,-29726.1438336157,-91.749156,66.8384539569555,-91.749156,16.0889698124183
0.45,159.000848,-90.999152,-28347.9402874384,-90.999152,74.6160214485087,-90.999152,-0.899267569964763
0.45,159.750852,-90.249148,-26962.3799262031,-90.249148,79.5104125023046,-90.249148,-11.9412192620096
0.45,160.500856,-89.499144,-25529.3190295886,-89.499144,83.8866646611582,-89.499144,-9.1649639182358
0.45,161.25086,-88.74914,-24088.1930828272,-88.74914,84.9313649497808,-88.74914,-11.5760086606565
0.45,162.000864,-87.999136,-22647.0671360657,-87.999136,85.976065238404,-87.999136,-13.987053403077
0.45,162.750868,-87.249132,-21211.5491514939,-87.249132,89.9119134923608,-87.249132,-7.22421148119351
0.45,163.500872,-86.499128,-19764.3654720331,-86.499128,86.3883868547277,-86.499128,-9.3799973623679
0.45,164.250876,-85.749124,-18316.215190441,-85.749124,84.6223909740465,-85.749124,-10.5711062932161
0.45,165.00088,-84.99912,-16845.6480596862,-84.99912,63.8557576002458,-84.99912,-12.2274577617872
0.45,165.750884,-84.249116,-15425.5675574686,-84.249116,73.8985314203662,-84.249116,-16.2818646020209
0.45,166.500888,-83.499112,-14005.487055251,-83.499112,83.9413052404865,-83.499112,-20.3362714422551
0.45,167.250892,-82.749108,-12585.4065530333,-82.749108,93.9840790606069,-82.749108,-24.3906782824891
0.45,168.000896,-81.999104,-11165.3260508157,-81.999104,104.026852880727,-81.999104,-28.4450851227235
0.45,168.7509,-81.2491,-9732.51781141064,-81.2491,121.348818346749,-81.2491,-2.92186468776782
0.45,169.500904,-80.499096,-8303.60924813834,-80.499096,133.459426317989,-80.499096,7.03149869977679
0.45,170.250908,-79.749092,-6966.6726533617,-79.749092,68.4530023503517,-79.749092,12.3748362896071
0.45,171.000912,-78.999088,-5474.49818410007,-78.999088,-12.1508511799385,-78.999088,-76.6184076073568
0.45,171.750916,-78.249084,-4208.8035600481,-78.249084,13.3111221019559,-78.249084,-37.7751896204441
0.45,172.50092,-77.49908,-2948.51487975456,-77.49908,25.4648298974457,-77.49908,42.2060423458326
0.45,173.250924,-76.749076,-1655.23512063464,-76.749076,63.864783010676,-76.749076,26.7486980409844
0.45,174.000928,-75.999072,-361.955361514721,-75.999072,102.264736123906,-75.999072,11.2913537361359
0.45,174.750932,-75.249068,936.609178208224,-75.249068,131.986820736478,-75.249068,-8.25467393832383
0.45,175.500936,-74.499064,2241.9074081029,-74.499064,127.240679768307,-74.499064,-39.5134693950037
0.45,176.25094,-73.74906,3219.95669460767,-73.74906,43.2036104658675,-73.74906,49.8413826899132
0.45,177.000944,-72.999056,4510.22133653895,-72.999056,-8.71419844096591,-72.999056,1.51481923954759
0.45,177.750948,-72.249052,5697.47435562259,-72.249052,79.1927408255044,-72.249052,19.3791967475398
0.45,178.500952,-71.499048,6736.03528825792,-71.499048,80.837502284485,-71.499048,-45.9716125720414
0.45,179.250956,-70.749044,7821.99028659048,-70.749044,77.8521104770952,-70.749044,-56.6667372976106
0.45,180.00096,-69.99904,8929.01893444941,-69.99904,71.4791504112039,-69.99904,-39.6206398953733
0.45,180.750964,-69.249036,10036.0475823083,-69.249036,65.1061903453125,-69.249036,-22.5745424931359
0.45,181.500968,-68.499032,11047.201291353,-68.499032,45.8802280564989,-68.499032,-9.1986127163857
0.45,182.250972,-67.749028,11931.2217004156,-67.749028,31.598327160513,-67.749028,-12.3596050194725
0.45,183.000976,-66.999024,12815.2421094781,-66.999024,17.3164262645273,-66.999024,-15.5205973225595
0.45,183.75098,-66.24902,13691.8555721051,-66.24902,6.71452287761224,-66.24902,-20.6785490659394
0.45,184.500984,-65.499016,14540.7104828633,-65.499016,18.329767569224,-65.499016,-31.2254838919341
0.45,185.250988,-64.749012,15389.5653936215,-64.749012,29.9450122608356,-64.749012,-41.7724187179288
0.45,186.000992,-63.999008,16238.4203043797,-63.999008,41.5602569524473,-63.999008,-52.3193535439235
0.45,186.750996,-63.249004,17177.4068271193,-63.249004,38.4992433604754,-63.249004,112.36600112728
0.45,187.501,-62.499,17647.5299389395,-62.499,66.4762692652655,-62.499,40.4900344516824
0.45,188.251004,-61.748996,18331.7853467829,-61.748996,77.8663215692775,-61.748996,19.9834341645509
0.45,189.001008,-60.998992,18983.1735870498,-60.998992,90.7800707679563,-60.998992,8.35794500344366
0.45,189.751012,-60.248988,19622.4878956028,-60.248988,53.1978402178586,-60.248988,-12.8452573265809
0.45,190.501016,-59.498984,20277.2916708392,-59.498984,6.54583264473317,-59.498984,81.1387739792494
0.45,191.25102,-58.74898,20783.7300536015,-58.74898,17.6858303106065,-58.74898,50.2845278619604
0.45,192.001024,-57.998976,21290.1684363637,-57.998976,28.8258279764798,-57.998976,19.4302817446713
0.45,192.751028,-57.248972,21796.606819126,-57.248972,39.9658256423532,-57.248972,-11.4239643726177
0.45,193.501032,-56.498968,22303.0452018883,-56.498968,51.1058233082266,-56.498968,-42.2782104899066
0.45,194.251036,-55.748964,22707.5936706242,-55.748964,33.0499294847856,-55.748964,16.1261482982979
0.45,195.00104,-54.99896,23153.6083977407,-54.99896,8.26942353393274,-54.99896,7.67000684471988
0.45,195.751044,-54.248956,23477.6875804519,-54.248956,-18.0684750835739,-54.248956,-14.0313907539817
